,Name,Last year,Two years ago
87,Cooper Kupp,128.4,243.6
88,Cooper Rush,73.2,32.3
89,Cordarrelle Patterson,129.7,182.6
90,Courtland Sutton,95.4,113.0
91,Craig Reynolds,21.8,28.2
92,Curtis Samuel,113.0,8.4
93,D'Andre Swift,141.1,148.9
94,D'Ernest Johnson,1.7,85.1
95,D'Onta Foreman,124.0,93.5
96,DJ Chark,68.2,110.1
97,DJ Moore,136.1,166.4
98,DK Metcalf,166.4,120.3
99,Dak Prescott,315.4,416.5
100,Dallas Goedert,108.3,116.3
101,Dalton Kincaid,0.0,0.0
102,Dalton Schultz,117.9,93.9
103,Dalvin Cook,213.8,174.3
104,Dameon Pierce,140.4,0.0
105,Damien Harris,73.9,199.8
106,Damien Williams,0.2,35.4
107,Damiere Byrd,38.8,45.6
108,Daniel Bellinger,53.1,0.0
109,Daniel Jones,373.1,204.8
110,Dare Ogunbowale,26.9,34.7
111,Darius Slayton,93.9,46.5
112,Darnell Mooney,61.5,161.2
113,Darnell Washington,0.0,0.0
114,Darrell Henderson,53.5,139.4
115,Darren Waller,56.8,89.7
116,Darrynton Evans,9.7,1.8
117,Davante Adams,235.5,236.2
118,David Bell,21.4,0.0
119,David Montgomery,147.7,157.0
120,David Njoku,86.0,77.0
121,David Wells,0.0,0.0
122,Dawson Knox,102.2,97.2
123,De'Von Achane,0.0,0.0
124,DeAndre Carter,72.0,33.8
125,DeAndre Hopkins,89.7,71.9
126,DeVante Parker,71.9,206.8
127,DeVonta Smith,187.3,113.5
128,DeeJay Dallas,32.5,39.1
129,Deebo Samuel,146.9,223.5
130,Demarcus Robinson,68.7,196.7
131,Demario Douglas,0.0,0.0
132,Deon Jackson,111.2,18.2
133,Deonte Harty,1.3,65.6
134,Derek Carr,282.3,364.5
135,Derius Davis,0.0,0.0
136,Derrick Henry,275.8,185.6
137,Deshaun Watson,106.6,0.0
138,Desmond Ridder,49.8,0.0
139,Deuce Vaughn,0.0,0.0
140,Deven Thompkins,5.8,0.0
141,Devin Duvernay,73.1,50.1
142,Devin Singletary,156.9,190.3
143,Devine Ozigbo,0.4,0.4
144,Diontae Johnson,90.7,155.8
145,Donald Parham,21.3,21.8
146,Donovan Peoples-Jones,102.1,73.5
147,Dontayvion Wicks,0.0,0.0
148,Dorian Thompson-Robinson,0.0,0.0
149,Drake London,110.6,0.0
150,Drew Lock,0.0,64.8
151,Drew Ogletree,0.0,0.0
152,Drew Sample,-0.2,14.2
153,Durham Smythe,27.0,54.9
154,Dyami Brown,27.8,19.8
155,Elijah Dotson,0.0,0.0
156,Elijah Higgins,0.0,0.0
157,Elijah Mitchell,54.4,174.6
158,Elijah Moore,51.1,62.9
159,Emanuel Wilson,0.0,0.0
160,Emari Demercado,0.0,0.0
161,Equanimeous St. Brown,42.7,15.5
162,Eric Gray,0.0,0.0
163,Erik Ezukanma,0.3,0.0
164,Evan Engram,120.3,73.1
165,Evan Hull,0.0,0.0
166,Ezekiel Elliott,175.7,204.2
167,Foster Moreau,54.2,73.7
168,Gabe Davis,146.3,98.4
169,Gardner Minshew,51.6,40.1
170,Garrett Wilson,134.7,0.0
171,Gary Brightwell,25.0,0.4
172,Geno Smith,400.2,65.3
173,Geoff Swaim,11.8,29.5
174,George Kittle,159.3,137.2
175,George Pickens,112.5,0.0
176,Gerald Everett,96.4,60.1
177,Giovanni Ricci,10.0,27.6
178,Greg Dortch,63.1,1.2
179,Greg Dulcich,53.1,0.0
180,Gunner Olszewski,5.3,2.8
181,Gus Edwards,66.5,0.0
182,Harrison Bryant,30.7,32.8
183,Hayden Hurst,73.5,28.4
184,Hunter Henry,62.9,123.1
185,Hunter Luepke,0.0,0.0
186,Hunter Renfrow,45.0,129.3
187,Ian Thomas,19.7,22.4
188,Irv Smith,36.5,0.0
189,Isaiah Hodgins,75.9,0.0
190,Isaiah Likely,55.3,0.0
191,Isaiah McKenzie,78.8,34.4
192,Isaiah Spiller,5.4,0.0
193,Isiah Pacheco,158.2,0.0
194,J.K. Dobbins,90.7,0.0
195,Ja'Marr Chase,193.7,229.6
196,Jack Stoll,12.8,1.9
197,Jahan Dotson,93.6,0.0
198,Jahmyr Gibbs,0.0,0.0
199,Jake Bobo,0.0,0.0
200,Jake Browning,0.0,0.0
201,Jake Ferguson,32.8,0.0
202,Jake Funk,0.0,1.0
203,Jakobi Meyers,115.3,102.1
204,Jaleel McLaughlin,0.0,0.0
205,Jalen Brooks,0.0,0.0
206,Jalen Guyton,6.4,55.1
207,Jalen Hurts,512.3,380.4
208,Jalen Nailor,23.9,0.0
209,Jalen Reagor,18.9,53.1
210,Jalen Tolbert,1.2,0.0
211,Jalin Hyatt,0.0,0.0
212,Jamaal Williams,215.9,93.8
213,Jamal Agnew,46.2,20.6
214,Jameis Winston,60.5,137.1
215,James Conner,156.2,229.1
216,James Cook,97.9,0.0
217,James Proche,6.2,35.1
218,Jameson Williams,14.1,0.0
219,Jamison Crowder,6.0,73.6
220,Jared Goff,345.7,247.0
221,Jaren Hall,0.0,0.0
222,Jashaun Corbin,0.0,0.0
223,Jason Cabinda,0.4,2.3
224,Jauan Jennings,54.3,90.8
225,Javonte Williams,28.0,163.9
226,Jaxon Smith-Njigba,0.0,0.0
227,Jayden Reed,0.0,0.0
228,Jaylen Waddle,191.4,159.3
229,Jaylen Warren,64.4,0.0
230,Jeff Wilson,67.9,44.5
231,Jeremy Ruckert,0.8,0.0
232,Jerick McKinnon,146.9,54.7
233,Jerome Ford,1.2,0.0
234,Jerry Jeudy,137.2,75.9
235,Jesper Horsted,1.9,16.3
236,Jimmy Garoppolo,201.2,328.9
237,Jimmy Graham,0.0,14.4
238,Joe Burrow,484.5,468.7
239,Joe Mixon,206.8,295.1
240,John Bates,16.8,53.4
241,John Metchie,0.0,0.0
242,Johnny Mundt,21.2,1.4
243,Jonathan Mingo,0.0,0.0
244,Jonathan Taylor,123.1,337.1
245,Jonnu Smith,25.0,45.7
246,Jordan Addison,0.0,0.0
247,Jordan Akins,79.5,36.5
248,Jordan Love,13.7,31.7
249,Jordan Mason,33.0,0.0
250,Josh Allen,525.8,557.9
251,Josh Downs,0.0,0.0
252,Josh Jacobs,277.3,188.7
253,Josh Oliver,29.5,7.0
254,Josh Reynolds,65.9,30.2
255,Josh Whyle,0.0,0.0
256,Joshua Dobbs,66.0,0.0
257,Joshua Kelley,53.6,14.0
258,Joshua Palmer,98.4,48.2
259,Josiah Deguara,11.4,21.4
260,JuJu Smith-Schuster,120.2,112.7
261,Julian Hill,0.0,0.0
262,Julio Jones,59.8,55.0
263,Justice Hill,31.6,0.0
264,Justin Fields,342.4,175.5
265,Justin Herbert,369.5,450.9
266,Justin Jefferson,243.6,256.0
267,Justin Watson,46.5,0.0
268,Justyn Ross,0.0,0.0
269,Juwan Johnson,92.8,13.2
270,Juwann Winfree,1.7,6.2
271,K.J. Osborn,103.6,86.0
272,KaVontae Turpin,1.7,0.0
273,Kadarius Toney,53.4,47.5
274,Kalif Raymond,65.2,97.3
275,Kareem Hunt,91.8,86.0
276,Kayshon Boutte,0.0,0.0
277,Ke'Shawn Vaughn,7.2,44.8
278,Keaontay Ingram,14.1,0.0
279,Keaton Mitchell,0.0,0.0
280,Keenan Allen,106.1,161.6
281,Keith Kirkwood,1.8,1.6
282,Kendre Miller,0.0,0.0
283,Kendrick Bourne,53.3,128.4
284,Kene Nwangwu,3.5,7.0
285,Kenneth Gainwell,92.8,98.0
286,Kenneth Walker,188.1,0.0
287,Kenny Pickett,189.9,0.0
288,Kenyan Drake,87.1,72.5
289,KhaDarel Hodge,26.2,13.1
290,Khalil Herbert,108.8,61.5
291,Khalil Shakir,31.2,0.0
292,Khari Blasingame,0.0,0.6
293,Kirk Cousins,392.6,360.6
294,Ko Kieft,14.0,0.0
295,Kwamie Lassiter,0.0,0.0
296,Kyle Juszczyk,22.7,24.9
297,Kyle Philips,7.8,0.0
298,Kyle Pitts,47.6,135.8
299,Kylen Granson,30.2,10.0
300,Kyler Murray,234.2,365.8
301,Kyren Williams,21.5,0.0
302,La'Mical Perine,0.0,3.1
303,Lamar Jackson,274.5,296.8
304,Latavius Murray,112.7,93.6
305,Laviska Shenault,45.7,102.2
306,Lawrence Cager,19.8,0.0
307,Lil'Jordan Humphrey,2.0,84.9
308,Logan Thomas,38.3,22.5
309,Lucas Krull,0.0,0.0
310,Luke Farrell,4.0,16.3
311,Luke Musgrave,0.0,0.0
312,Luke Schoonmaker,0.0,0.0
313,Lynn Bowden,0.0,0.0
314,Mac Jones,222.1,312.4
315,Mack Hollins,97.2,89.0
316,Malik Heath,0.0,0.0
317,Malik Taylor,0.0,1.7
318,Malik Willis,32.5,0.0
319,Marcedes Lewis,18.6,19.3
320,Mark Andrews,122.8,187.3
321,Marquez Valdes-Scantling,104.6,53.7
322,Marquise Brown,89.0,122.8
323,Marquise Goodwin,63.2,49.2
324,Marvin Jones,81.9,115.3
325,Marvin Mims,0.0,0.0
326,Matt Breida,50.4,37.7
327,Matthew Stafford,151.3,524.2
328,Mecole Hardman,141.0,225.0
329,Melvin Gordon,66.1,173.1
330,Michael Burton,1.8,11.0
331,Michael Carter,87.0,120.4
332,Michael Gallup,77.0,78.8
333,Michael Mayer,0.0,0.0
334,Michael Pittman,119.5,134.7
335,Michael Thomas,35.1,0.0
336,Michael Wilson,0.0,0.0
337,Mike Boone,19.6,5.4
338,Mike Evans,155.8,186.7
339,Mike Gesicki,73.7,114.8
340,Mike Strachan,5.9,2.3
341,Mike White,78.5,67.6
342,Mike Williams,113.5,165.7
343,Miles Boykin,1.1,0.4
344,Miles Sanders,227.8,94.0
345,Mitch Trubisky,94.4,10.8
346,Mitchell Wilcox,21.8,1.3
347,Mo Alie-Cox,36.9,132.3
348,MyCole Pruitt,39.0,11.4
349,Najee Harris,186.5,229.5
350,Nate Adkins,0.0,0.0
351,Nelson Agholor,48.2,54.3
352,Nick Bawden,0.0,0.0
353,Nick Chubb,254.4,197.3
354,Nick Westbrook-Ikhine,57.7,65.9
355,Nico Collins,60.1,53.3
356,Noah Brown,77.4,15.3
357,Noah Fant,73.7,89.7
358,Noah Gray,45.7,14.6
359,Odell Beckham,0.0,67.1
360,Olamide Zaccheaus,72.0,64.6
361,PJ Walker,52.5,23.4
362,Parris Campbell,86.1,25.5
363,Pat Freiermuth,85.2,92.8
364,Patrick Mahomes,556.1,554.6
365,Patrick Taylor,3.1,15.2
366,Payne Durham,0.0,0.0
367,Peyton Hendershot,22.3,0.0
368,Pharaoh Brown,7.2,14.1
369,Phillip Dorsett,31.7,36.2
370,Pierre Strong,19.2,0.0
371,Puka Nacua,0.0,0.0
372,Quentin Johnston,0.0,0.0
373,Quez Watkins,54.3,103.6
374,Quintin Morris,16.2,0.0
375,Rachaad White,102.8,0.0
376,Raheem Blackshear,32.6,0.0
377,Raheem Mostert,139.3,2.0
378,Rakim Jarrett,0.0,0.0
379,Randall Cobb,47.7,63.2
380,Rashaad Penny,48.2,115.7
381,Rashee Rice,0.0,0.0
382,Rashid Shaheed,72.5,0.0
383,Rashod Bateman,40.5,61.5
384,Ray-Ray McCloud,44.1,40.5
385,Rhamondre Stevenson,182.1,108.9
386,Richie James,89.7,0.0
387,Rico Dowdle,0.0,0.0
388,River Cracraft,22.2,0.0
389,Robbie Chosen,26.6,73.7
390,Robert Tonyan,59.0,26.8
391,Robert Woods,64.7,64.7
392,Rodney Williams,0.0,0.0
393,Romeo Doubs,61.6,0.0
394,Rondale Moore,47.5,63.1
395,Ronnie Bell,0.0,0.0
396,Ronnie Rivers,5.0,0.0
397,Roschon Johnson,0.0,0.0
398,Ross Dwelley,16.5,5.7
399,Royce Freeman,15.0,15.4
400,Russell Wilson,286.0,286.0
401,Ryan Tannehill,200.6,355.9
402,Salvon Ahmed,17.2,26.6
403,Sam Darnold,107.8,214.6
404,Sam Howell,22.0,0.0
405,Sam LaPorta,0.0,0.0
406,Samaje Perine,119.4,54.2
407,Samori Toure,14.2,0.0
408,Saquon Barkley,256.1,109.6
409,Scotty Miller,19.3,183.6
410,Sean McKeon,1.1,2.4
411,Sean Tucker,0.0,0.0
412,Shed Jackson,0.0,0.0
413,Simi Fehoko,2.4,0.0
414,Skyy Moore,33.4,0.0
415,Stefon Diggs,223.5,193.7
416,Stephen Sullivan,4.6,-0.2
417,Sterling Shepard,21.4,55.3
418,Stone Smartt,1.7,0.0
419,T.J. Hockenson,82.8,147.0
420,Tank Bigsby,0.0,0.0
421,Tank Dell,0.0,0.0
422,Tanner Hudson,13.2,0.0
423,Taylor Heinicke,156.6,288.1
424,Taysom Hill,101.3,125.6
425,Teagan Quitoriano,23.3,0.0
426,Tee Higgins,165.7,191.4
427,Terrace Marshall,55.0,10.9
428,Terry McLaurin,152.0,128.2
429,Tim Jones,6.0,0.0
430,Tommy DeVito,0.0,0.0
431,Tommy Tremble,35.4,21.2
432,Tony Jones,6.8,34.2
433,Tony Pollard,222.0,120.2
434,Travis Etienne,200.2,0.0
435,Travis Kelce,256.0,235.5
436,Trayveon Williams,6.0,5.5
437,Tre Tucker,0.0,0.0
438,Trent Sherfield,53.7,8.8
439,Trent Taylor,8.0,4.2
440,Trenton Irwin,50.1,15.0
441,Trevon Wesco,2.6,8.5
442,Trevor Lawrence,413.4,275.5
443,Trey McBride,32.5,0.0
444,Trey Palmer,0.0,0.0
445,Trey Sermon,1.9,25.3
446,Treylon Burks,55.1,0.0
447,Trishton Jackson,0.0,0.0
448,Tua Tagovailoa,284.4,227.5
449,Tucker Kraft,0.0,0.0
450,Tutu Atwell,44.3,0.0
451,Ty Chandler,2.0,0.0
452,Ty Johnson,30.4,85.0
453,Ty Montgomery,7.3,12.6
454,Tyjae Spears,0.0,0.0
455,Tyler Allgeier,141.4,0.0
456,Tyler Boyd,116.3,90.7
457,Tyler Conklin,73.5,73.5
458,Tyler Higbee,80.0,113.0
459,Tyler Huntley,85.3,106.5
460,Tyler Lockett,161.2,152.0
461,Tyler Scott,0.0,0.0
462,Tyquan Thornton,44.3,0.0
463,Tyreek Hill,229.6,219.7
464,Tyrion Davis-Price,9.9,0.0
465,Tyrod Taylor,13.9,101.4
466,Tyson Bagent,0.0,0.0
467,Van Jefferson,109.8,190.8
468,Velus Jones,32.3,0.0
469,Wan'Dale Robinson,28.6,0.0
470,Will Dissly,52.9,26.7
471,Will Levis,0.0,0.0
472,Will Mallory,0.0,0.0
473,Willie Snead,0.0,3.0
474,Xavier Gipson,0.0,0.0
475,Xavier Hutchinson,0.0,0.0
476,Zach Charbonnet,0.0,0.0
477,Zach Ertz,64.6,72.0
478,Zach Evans,0.0,0.0
479,Zach Pascal,22.5,57.5
480,Zach Wilson,130.8,195.2
481,Zack Moss,43.7,84.2
482,Zamir White,7.0,0.0
483,Zay Flowers,0.0,0.0
484,Zay Jones,135.8,81.9
485,Zonovan Knight,46.0,0.0
