,Name,Team,Pos,COMP,PATT,PYDS,PTD,INT,RATT,RYDS,RTD,REC,TAR,REYDS,RETD,TOT,LOST,G,Last year,Two years ago,Value,Old_Value
13,Alexander Mattison,MIN,RB,0.0,0.0,0.0,0.0,0.0,158.0,594.0,0.0,27.0,40.0,174.0,3.0,3.0,2.0,12.0,73.4,94.6,7.070338289335348,7.07
14,Allen Lazard,NYJ,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,42.0,290.0,1.0,0.0,0.0,11.0,114.8,79.5,3.2754373562976733,3.27
15,Allen Robinson,PIT,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,38.0,204.0,0.0,0.0,0.0,11.0,51.9,53.1,1.8234217007002385,1.82
16,Alvin Kamara,NO,RB,0.0,0.0,0.0,0.0,0.0,133.0,508.0,4.0,60.0,69.0,413.0,1.0,0.0,0.0,9.0,162.7,187.7,10.775168708898407,10.77
17,Amari Cooper,CLE,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,91.0,799.0,2.0,1.0,0.0,12.0,170.0,110.6,7.120330970352843,7.12
18,Amari Rodgers,IND,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,22.1,5.9,0.19870526883654022,0.19
19,Ameer Abdullah,LV,RB,0.0,0.0,0.0,0.0,0.0,5.0,30.0,0.0,5.0,5.0,42.0,0.0,0.0,0.0,4.0,11.9,46.8,0.6310604564581924,0.63
20,Amon-Ra St. Brown,DET,WR,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,84.0,114.0,1042.0,6.0,1.0,1.0,11.0,161.6,108.3,11.362577646483377,11.36
21,Andrei Iosivas,CIN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,39.0,2.0,0.0,0.0,6.0,0.0,0.0,1.5540785709301517,
22,Andrew Beck,HOU,FB,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,1.0,8.0,0.0,1.0,1.0,3.0,0.0,0.0,0.6395705521472393,
23,Andy Dalton,CAR,QB,34.0,58.0,361.0,2.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,221.0,115.4,2.999358557596545,2.99
24,Anthony Richardson,IND,QB,50.0,84.0,577.0,3.0,1.0,25.0,136.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,3.3924326370426185,3.39
25,Antoine Green,DET,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.027911520480078153,
26,Antonio Gibson,WAS,RB,0.0,0.0,0.0,0.0,0.0,46.0,193.0,0.0,33.0,38.0,258.0,2.0,4.0,2.0,11.0,119.9,193.1,5.475965136987838,5.47
27,Austin Ekeler,LAC,RB,0.0,0.0,0.0,0.0,0.0,126.0,446.0,4.0,31.0,47.0,295.0,1.0,3.0,3.0,9.0,288.0,275.8,9.9021929858432,9.9
28,Austin Hooper,LV,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,149.0,0.0,0.0,0.0,11.0,56.4,47.6,0.6364684015571331,0.63
29,Austin Trammell,LAR,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,29.0,0.0,0.0,0.0,2.0,1.3,0.0,0.21052323924563557,0.21
30,Bailey Zappe,NE,QB,32.0,64.0,299.0,0.0,2.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,58.5,0.0,0.8831141878150444,0.88
31,Baker Mayfield,TB,QB,260.0,409.0,2790.0,18.0,8.0,46.0,151.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,12.0,100.9,239.0,11.3038429989892,11.3
32,Ben Sims,GB,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,15.0,1.0,0.0,0.0,4.0,0.0,0.0,-0.23193634535754115,
33,Ben Skowronek,LAR,WR,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,6.0,10.0,44.0,1.0,0.0,0.0,7.0,45.3,11.6,1.4003578544523123,1.4
34,Bijan Robinson,ATL,RB,0.0,0.0,0.0,0.0,0.0,159.0,756.0,3.0,35.0,54.0,266.0,3.0,2.0,2.0,12.0,0.0,0.0,9.69161554192229,9.69
35,Blaine Gabbert,KC,QB,3.0,5.0,31.0,0.0,2.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,3.0,-0.17491107044302404,-0.17
36,Blake Bell,KC,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,19.0,1.0,1.0,1.0,3.0,8.4,8.9,-0.14828131629700936,-0.14
37,Boston Scott,PHI,RB,0.0,0.0,0.0,0.0,0.0,13.0,69.0,0.0,3.0,4.0,48.0,0.0,0.0,0.0,6.0,60.2,96.6,1.185302109454207,1.18
38,Brandin Cooks,DAL,WR,0.0,0.0,0.0,0.0,0.0,3.0,23.0,0.0,37.0,52.0,497.0,5.0,1.0,0.0,11.0,88.6,120.2,6.916359735932724,6.91
39,Brandon Aiyuk,SF,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,72.0,927.0,6.0,0.0,0.0,11.0,162.7,136.1,10.174365937374674,10.17
40,Brandon Johnson,DEN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,122.0,3.0,0.0,0.0,6.0,10.2,0.0,2.6962736576768958,2.69
41,Brandon Powell,MIN,WR,0.0,0.0,0.0,0.0,0.0,5.0,17.0,0.0,25.0,34.0,269.0,1.0,0.0,0.0,9.0,22.4,0.0,2.5260833874115907,2.52
42,Braxton Berrios,MIA,WR,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,20.0,26.0,194.0,1.0,1.0,0.0,9.0,37.5,47.7,2.2275121877315516,2.22
43,Breece Hall,NYJ,RB,0.0,0.0,0.0,0.0,0.0,137.0,585.0,2.0,44.0,57.0,349.0,2.0,2.0,0.0,12.0,98.1,0.0,9.23554983600734,9.23
44,Brenton Strange,JAX,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,34.0,1.0,0.0,0.0,4.0,0.0,0.0,-0.02288651324520896,-0.02
45,Brett Rypien,LAR,QB,18.0,38.0,172.0,0.0,1.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,32.9,0.0,0.5473649149477234,0.54
46,Brevin Jordan,HOU,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,124.0,1.0,0.0,0.0,5.0,12.8,77.1,1.0434906781100097,1.04
47,Brian Hoyer,LV,QB,23.0,42.0,231.0,0.0,2.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.9,15.0,0.26939140911371184,0.26
48,Brian Robinson,WAS,RB,0.0,0.0,0.0,0.0,0.0,160.0,664.0,5.0,29.0,36.0,326.0,3.0,3.0,1.0,13.0,103.7,0.0,11.26716399523559,11.26
49,Brock Purdy,SF,QB,233.0,332.0,3185.0,23.0,6.0,35.0,131.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,12.0,176.7,0.0,14.867413042654325,14.86
50,Brock Wright,DET,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,85.0,1.0,0.0,0.0,7.0,45.6,16.3,0.9005027466399937,0.9
51,Bryce Young,CAR,QB,231.0,381.0,2055.0,9.0,9.0,25.0,161.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,11.0,0.0,0.0,6.345114746019645,6.34
52,Brycen Hopkins,LAR,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,31.0,0.0,0.0,0.0,3.0,10.9,67.2,-1.0632544791955532,-1.06
53,Byron Pringle,WAS,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,18.0,156.0,0.0,1.0,1.0,9.0,25.5,86.1,1.131864103720535,1.13
54,C.J. Beathard,JAX,QB,12.0,14.0,77.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.8,1.7,0.21242487040923594,0.21
55,C.J. Stroud,HOU,QB,265.0,418.0,3540.0,20.0,5.0,35.0,143.0,3.0,1.0,1.0,0.0,0.0,7.0,4.0,12.0,0.0,0.0,14.084486923792502,14.08
56,C.J. Uzomah,NYJ,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,58.0,1.0,0.0,0.0,7.0,35.2,65.2,0.5047940207655266,0.5
57,Cade Otton,TB,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,50.0,348.0,3.0,1.0,1.0,11.0,56.9,0.0,6.2965500981434275,6.29
58,Calvin Austin,PIT,WR,0.0,0.0,0.0,0.0,0.0,7.0,29.0,0.0,17.0,28.0,180.0,1.0,0.0,0.0,10.0,0.0,0.0,1.8481264391877747,
59,Calvin Ridley,JAX,WR,0.0,0.0,0.0,0.0,0.0,8.0,35.0,0.0,51.0,84.0,689.0,5.0,1.0,0.0,12.0,0.0,31.7,7.241225315749075,
60,Cam Akers,LAR,RB,0.0,0.0,0.0,0.0,0.0,60.0,167.0,2.0,11.0,12.0,70.0,0.0,0.0,0.0,7.0,529.2,104.4,6.960646431527778,6.96
61,Cedric Tillman,CLE,WR,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,9.0,20.0,85.0,0.0,0.0,0.0,6.0,0.0,0.0,0.5625915846765753,0.56
62,Cedrick Wilson,MIA,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,19.0,171.0,2.0,0.0,0.0,6.0,15.8,82.8,2.381436957952444,2.38
63,CeeDee Lamb,DAL,WR,0.0,0.0,0.0,0.0,0.0,9.0,84.0,1.0,90.0,121.0,1182.0,7.0,2.0,1.0,12.0,219.7,170.0,14.172768371735076,14.17
64,Charlie Jones,CIN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.044518875165724656,0.04
65,Charlie Kolar,BAL,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0,0.0,0.0,0.0,2.0,4.9,0.0,-1.322025230809521,-1.32
66,Charlie Woerner,SF,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.3867987637362638,-1.38
67,Chase Brown,CIN,RB,0.0,0.0,0.0,0.0,0.0,11.0,67.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.4167689161554192,0.41
68,Chase Claypool,MIA,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,66.0,1.0,0.0,0.0,4.0,186.8,424.4,2.698673428572551,2.69
69,Chase Edmonds,TB,RB,0.0,0.0,0.0,0.0,0.0,21.0,55.0,0.0,6.0,8.0,26.0,0.0,0.0,0.0,8.0,18.6,105.1,0.7646229272000556,0.76
70,Chigoziem Okonkwo,TEN,TE,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,35.0,54.0,313.0,0.0,0.0,0.0,12.0,63.2,0.0,2.841328580614624,2.84
71,Chris Brooks,MIA,RB,0.0,0.0,0.0,0.0,0.0,15.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4805725971370144,
72,Chris Evans,CIN,RB,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,28.8,0.08957055214723926,
73,Chris Godwin,TB,WR,0.0,1.0,0.0,0.0,0.0,2.0,33.0,1.0,53.0,85.0,606.0,1.0,0.0,0.0,12.0,129.3,162.7,6.148918934888649,6.14
74,Chris Manhertz,DEN,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,16.0,0.0,0.0,0.0,4.0,4.2,7.4,-1.2701094512817,-1.27
75,Chris Moore,TEN,WR,0.0,0.0,0.0,0.0,0.0,2.0,39.0,0.0,13.0,21.0,292.0,0.0,1.0,0.0,10.0,67.1,33.9,2.232469318439292,2.23
76,Chris Olave,NO,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,111.0,890.0,3.0,0.0,0.0,12.0,128.2,0.0,8.12231660450255,8.12
77,Chris Rodriguez,WAS,RB,0.0,0.0,0.0,0.0,0.0,31.0,154.0,0.0,1.0,1.0,5.0,0.0,1.0,1.0,6.0,0.0,0.0,0.8462167689161554,0.84
78,Christian Kirk,JAX,WR,1.0,2.0,-1.0,0.0,0.0,1.0,6.0,0.0,57.0,85.0,787.0,3.0,2.0,2.0,12.0,186.7,146.3,8.025734675349955,8.02
79,Christian McCaffrey,SF,RB,0.0,0.0,0.0,0.0,0.0,210.0,1032.0,12.0,51.0,62.0,429.0,5.0,3.0,2.0,12.0,234.6,90.5,20.41772472179718,20.41
80,Christian Watson,GB,WR,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,28.0,53.0,422.0,5.0,0.0,0.0,9.0,123.1,0.0,6.688875191196864,6.68
81,Chuba Hubbard,CAR,RB,0.0,0.0,0.0,0.0,0.0,143.0,557.0,4.0,28.0,32.0,165.0,0.0,1.0,0.0,12.0,75.7,114.2,7.437109559012536,7.43
82,Clayton Tune,ARI,QB,12.0,21.0,62.0,0.0,2.0,5.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,-0.07198832988431658,-0.07
83,Clyde Edwards-Helaire,KC,RB,0.0,0.0,0.0,0.0,0.0,40.0,140.0,1.0,7.0,9.0,44.0,0.0,0.0,0.0,11.0,81.3,111.5,2.3819139022898663,2.38
84,Cody Thompson,SEA,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06112622985137115,
85,Colby Parkinson,SEA,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,20.0,150.0,0.0,0.0,0.0,9.0,45.6,3.0,0.5608528587863013,0.56
86,Cole Kmet,CHI,TE,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,56.0,68.0,482.0,5.0,1.0,0.0,11.0,97.3,77.4,10.389868935939196,10.38
87,Cole Turner,WAS,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,120.0,0.0,0.0,0.0,7.0,2.3,0.0,-0.041096509500360145,-0.04
88,Colton Dowell,TEN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
89,Connor Heyward,PIT,TE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,30.0,148.0,0.0,0.0,0.0,9.0,23.8,0.0,0.5587658922689829,0.55
90,Cooper Kupp,LAR,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,59.0,432.0,2.0,0.0,0.0,8.0,128.4,243.6,4.889239397389721,4.88
91,Cooper Rush,DAL,QB,15.0,20.0,114.0,0.0,1.0,12.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,73.2,32.3,0.6425127434550311,0.64
92,Cordarrelle Patterson,ATL,RB,0.0,0.0,0.0,0.0,0.0,30.0,130.0,0.0,5.0,6.0,22.0,0.0,1.0,0.0,7.0,129.7,182.6,1.9933042305657018,1.99
93,Courtland Sutton,DEN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,75.0,637.0,9.0,3.0,3.0,12.0,95.4,113.0,10.30640219810878,10.3
94,Craig Reynolds,DET,RB,0.0,0.0,0.0,0.0,0.0,41.0,179.0,1.0,5.0,5.0,47.0,0.0,1.0,1.0,6.0,21.8,28.2,2.0484930105919514,2.04
95,Curtis Samuel,WAS,WR,0.0,0.0,0.0,0.0,0.0,4.0,20.0,1.0,51.0,68.0,508.0,2.0,0.0,0.0,12.0,113.0,8.4,6.149351604864118,6.14
96,D'Andre Swift,PHI,RB,0.0,0.0,0.0,0.0,0.0,167.0,783.0,4.0,36.0,45.0,208.0,1.0,3.0,1.0,12.0,141.1,148.9,10.15825321246528,
97,D'Ernest Johnson,JAX,RB,0.0,0.0,0.0,0.0,0.0,31.0,90.0,0.0,8.0,9.0,124.0,0.0,0.0,0.0,10.0,1.7,85.1,1.3744927149307788,
98,D'Onta Foreman,CHI,RB,0.0,0.0,0.0,0.0,0.0,92.0,381.0,4.0,9.0,13.0,55.0,1.0,1.0,0.0,7.0,124.0,93.5,6.282455506487078,
99,DJ Chark,CAR,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,42.0,319.0,3.0,0.0,0.0,9.0,68.2,110.1,4.329792463841789,4.32
100,DJ Moore,CHI,WR,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,70.0,93.0,1003.0,6.0,1.0,1.0,12.0,136.1,166.4,10.647048760123809,10.64
101,DK Metcalf,SEA,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,88.0,812.0,6.0,0.0,0.0,11.0,166.4,120.3,9.710564044975092,9.71
102,Dak Prescott,DAL,QB,288.0,411.0,3234.0,26.0,6.0,41.0,174.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,315.4,416.5,16.873024439334795,16.87
103,Dallas Goedert,PHI,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,52.0,410.0,2.0,0.0,0.0,9.0,108.3,116.3,6.124621389042799,6.12
104,Dalton Kincaid,BUF,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,64.0,474.0,2.0,1.0,1.0,11.0,0.0,0.0,6.638679964962574,6.63
105,Dalton Schultz,HOU,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,61.0,455.0,5.0,1.0,1.0,11.0,117.9,93.9,9.79203909950857,9.79
106,Dalvin Cook,NYJ,RB,0.0,0.0,0.0,0.0,0.0,59.0,197.0,0.0,13.0,18.0,77.0,0.0,2.0,2.0,12.0,213.8,174.3,3.5642358464165245,3.56
107,Dameon Pierce,HOU,RB,0.0,0.0,0.0,0.0,0.0,129.0,382.0,2.0,10.0,13.0,88.0,0.0,0.0,0.0,9.0,140.4,0.0,4.972322914954388,4.97
108,Damien Harris,BUF,RB,0.0,0.0,0.0,0.0,0.0,23.0,94.0,1.0,2.0,2.0,16.0,0.0,0.0,0.0,6.0,73.9,199.8,1.7770428109287255,1.77
109,Damien Williams,ARI,RB,0.0,0.0,0.0,0.0,0.0,11.0,43.0,0.0,2.0,2.0,12.0,0.0,0.0,0.0,3.0,0.2,35.4,0.3494711746905211,0.34
110,Damiere Byrd,ATL,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,38.8,45.6,0.3488581190433375,0.34
111,Daniel Bellinger,NYG,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.0,145.0,0.0,0.0,0.0,9.0,53.1,0.0,0.5264514097201225,0.52
112,Daniel Jones,NYG,QB,108.0,160.0,909.0,2.0,6.0,40.0,206.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,6.0,373.1,204.8,5.263847930332592,5.26
113,Dare Ogunbowale,HOU,RB,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0,2.0,26.9,34.7,0.34814702450494217,0.34
114,Darius Slayton,NYG,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,53.0,435.0,1.0,0.0,0.0,12.0,93.9,46.5,3.9248322388250427,3.92
115,Darnell Mooney,CHI,WR,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,25.0,42.0,351.0,1.0,0.0,0.0,11.0,61.5,161.2,3.168267570044283,3.16
116,Darnell Washington,PIT,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,41.0,0.0,0.0,0.0,6.0,0.0,0.0,-0.972333257020757,-0.97
117,Darrell Henderson,LAR,RB,0.0,0.0,0.0,0.0,0.0,46.0,112.0,2.0,10.0,14.0,103.0,0.0,0.0,0.0,4.0,53.5,139.4,2.9654410702051868,2.96
118,Darren Waller,NYG,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,51.0,384.0,1.0,0.0,0.0,8.0,56.8,89.7,4.500234050141134,4.5
119,Darrynton Evans,MIA,RB,0.0,0.0,0.0,0.0,0.0,32.0,121.0,1.0,7.0,12.0,49.0,0.0,0.0,0.0,6.0,19.4,3.6,1.8094401412995633,1.8
120,Davante Adams,LV,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,118.0,814.0,4.0,0.0,0.0,12.0,235.5,236.2,9.438198072692195,9.43
121,David Bell,CLE,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,45.0,0.0,0.0,0.0,5.0,21.4,0.0,0.4968912358289964,0.49
122,David Montgomery,DET,RB,0.0,0.0,0.0,0.0,0.0,151.0,704.0,10.0,9.0,15.0,87.0,0.0,2.0,1.0,9.0,147.7,157.0,11.039165985432437,11.03
123,David Moore,TB,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
124,David Njoku,CLE,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,84.0,509.0,2.0,1.0,1.0,12.0,86.0,77.0,7.357282884005757,7.35
125,David Wells,TB,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-10.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.5419735958485958,
126,Davis Allen,LAR,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.4155533424908424,-1.41
127,Davis Mills,HOU,QB,2.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.04749465685110425,0.04
128,Dawson Knox,BUF,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,28.0,102.0,1.0,0.0,0.0,7.0,102.2,97.2,1.476536125631878,1.47
129,De'Von Achane,MIA,RB,0.0,0.0,0.0,0.0,0.0,56.0,534.0,7.0,13.0,16.0,101.0,2.0,1.0,1.0,6.0,0.0,0.0,8.629754601226995,
130,DeAndre Carter,LV,WR,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,6.0,36.0,0.0,1.0,0.0,6.0,72.0,33.8,0.8681108193267227,0.86
131,DeAndre Hopkins,TEN,WR,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,50.0,95.0,774.0,5.0,0.0,0.0,12.0,89.7,71.9,8.273085574796946,8.27
132,DeVante Parker,NE,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,39.0,264.0,0.0,0.0,0.0,9.0,71.9,206.8,2.173924421138668,2.17
133,DeVonta Smith,PHI,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,87.0,834.0,6.0,0.0,0.0,12.0,187.3,113.5,10.283937985279344,10.28
134,Dee Eskridge,SEA,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
135,DeeJay Dallas,SEA,RB,0.0,0.0,0.0,0.0,0.0,9.0,34.0,0.0,4.0,6.0,27.0,0.0,1.0,1.0,6.0,32.5,39.1,0.7081865416064037,0.7
136,Deebo Samuel,SF,WR,0.0,1.0,0.0,0.0,0.0,26.0,154.0,4.0,38.0,53.0,590.0,3.0,1.0,0.0,9.0,146.9,223.5,9.684283385953526,9.68
137,Demarcus Robinson,LAR,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,107.0,1.0,0.0,0.0,4.0,68.7,196.7,1.8854708088397005,1.88
138,Demario Douglas,NE,WR,0.0,0.0,0.0,0.0,0.0,4.0,29.0,0.0,36.0,55.0,410.0,0.0,3.0,1.0,10.0,0.0,0.0,2.52853952969088,2.52
139,Deon Jackson,NYG,RB,0.0,0.0,0.0,0.0,0.0,14.0,16.0,0.0,5.0,6.0,14.0,0.0,2.0,2.0,2.0,222.4,36.4,2.119717217004636,2.11
140,Deonte Harty,BUF,WR,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,19.0,113.0,1.0,1.0,0.0,10.0,1.3,65.6,1.3828070994089179,1.38
